Friends of: Person- Name: Sunshine, Sue hair color: BLONDE
	Person- Name: Wilberforce, Bob hair color: GREY
	Person- Name: Quinones, Jose hair color: BLACK
	Person- Name: Gonzalez, Alex hair color: BROWN
	Person- Name: Nottingham, Cathy hair color: BLONDE
Friends of: Person- Name: Nottingham, Cathy hair color: BLONDE
	Person- Name: Wilberforce, Bob hair color: GREY
	Person- Name: Gonzalez, Alex hair color: BROWN
Friends of: Person- Name: Wilberforce, Bob hair color: GREY
	Person- Name: Gonzalez, Alex hair color: BROWN
	Person- Name: Quinones, Jose hair color: BLACK
	Person- Name: Weiss, Jerry hair color: BALD
